year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2006,3.686406169002615,75.03932,47.289837,59.51865598289565,67.1746423175947,49.252549346107905,0,0,0,0,1,0,0,0,0
2007,4.693604445655234,76.08077,47.88145,60.10559342618352,67.79222736394581,49.54370034034656,0,0,0,0,1,0,0,0,0
2008,3.49094074148342,76.31291,47.65755,60.089538686122474,67.7753343074572,49.43351224845197,0,0,0,0,1,0,0,0,0
2009,3.1693774325641058,76.74748,48.295197,60.49579071635711,68.20279924736161,49.74731799312509,0,0,0,0,1,0,0,0,0
2010,7.294295114643126,76.20332,49.738525,60.91262956340966,68.64140380670923,50.45762419365228,0,0,0,0,1,0,0,0,0
2011,5.786308080716059,75.14529,49.093243,60.29807877600184,67.99476355421433,50.140061030124244,0,0,0,0,1,0,0,0,0
2012,6.454239469402581,76.2359,50.11964,61.08069692648205,68.81824699741068,50.645182633323586,0,0,0,0,1,0,0,0,0
2013,4.8773012787711245,76.17663,48.692184,60.471855194916834,68.17761390557231,49.94268753326335,0,0,0,0,1,0,0,0,0
2014,6.614384065877571,76.58043,50.12755,61.19732861915576,68.94096874595412,50.649075388155595,0,0,0,0,1,0,0,0,0
2015,6.717895741998777,74.041595,49.73561,60.200120661413585,67.89169044577612,50.45618963229509,0,0,0,0,1,0,0,0,0
2016,5.800348106106184,74.96561,51.191414,61.10520640671206,68.84403626789766,51.172635657004854,0,0,0,0,1,0,0,0,0
2017,7.483689533016756,77.18105,52.210175,62.254791965984026,70.05364873857346,51.67399934921846,0,0,0,0,1,0,0,0,0
2018,6.002008885401674,76.04303,51.502327,61.58808985926599,69.35213402659092,51.32564552844399,0,0,0,0,1,0,0,0,0
2019,8.954490992434323,74.10603,51.911346,61.11959665294029,68.85917791712366,51.52693638667818,0,0,0,0,1,0,0,0,0
2020,6.097947144921943,74.82701,49.52226,60.37047412165355,68.07093910479679,50.3511935206126,0,0,0,0,1,0,0,0,0
2021,3.1272729982214797,75.10947,48.25493,59.94018662530437,67.61818365970453,49.727501361162965,0,0,0,0,1,0,0,0,0
2022,6.508546311371326,74.842064,48.587048,59.989316117666974,67.66987850412951,49.890946866763,0,0,0,0,1,0,0,0,0
2023,7.367387197747305,76.85042,50.926254,61.615920339564724,69.38141770692488,51.042142247238125,0,0,0,0,1,0,0,0,0
2024,5.6251984428681805,77.10832,48.96992,60.89308942827032,68.62084336129254,50.079369980295226,0,0,0,0,1,0,0,0,0
2025,5.479281969711966,76.61004,48.923286,60.70987943983767,68.42806685590494,50.05641995136529,0,0,0,0,1,0,0,0,0
2026,4.964994513086267,76.54506,50.09349,61.17162828223575,68.91392643684692,50.63231341222916,0,0,0,0,1,0,0,0,0
2027,4.919652220399193,75.87775,49.90222,60.87308537756833,68.5997947764369,50.538183549180125,0,0,0,0,1,0,0,0,0
