year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2006,11.24115197154209,70.86705,43.311687,56.503371951435824,64.00191181687995,47.29477910148766,0,0,0,0,0,0,0,1,0
2007,14.584734815742372,72.22919,43.45874,57.012289968127774,64.53740356395099,47.3671484158127,0,0,0,0,0,0,0,1,0
2008,13.910490464574696,71.8022,43.867596,57.04059113430655,64.56718250756106,47.56835905672229,0,0,0,0,0,0,0,1,0
2009,16.050273493114112,71.866745,44.421913,57.29068457524604,64.83033486064578,47.84115553968225,0,0,0,0,0,0,0,1,0
2010,20.67390590530693,71.05986,45.3012,57.388205138235605,64.93294757023324,48.27387977709948,0,0,0,0,0,0,0,1,0
2011,18.542853788622025,70.38782,44.68756,56.91372625004706,64.43369322974837,47.97188861716113,0,0,0,0,0,0,0,1,0
2012,25.15808924512401,71.22037,46.092712,57.767803693221545,65.33236729350489,48.66340723128292,0,0,0,0,0,0,0,1,0
2013,16.679306230155674,71.64932,44.611866,57.297565864573926,64.83757546428612,47.93463726643371,0,0,0,0,0,0,0,1,0
2014,30.224763162508605,71.76276,45.923195,57.87628780761518,65.44651602874461,48.57998269008732,0,0,0,0,0,0,0,1,0
2015,22.345327467480004,68.99289,44.37379,56.325188089018106,63.81442388236715,47.817472727952705,0,0,0,0,0,0,0,1,0
2016,21.590537603285902,69.74649,46.54793,57.47077164913915,65.01982538497576,48.88743404153782,0,0,0,0,0,0,0,1,0
2017,31.198329529518485,72.149704,47.700233,58.73727748267287,66.35246325439735,49.454517868489205,0,0,0,0,0,0,0,1,0
2018,25.12194117918938,70.45566,46.267834,57.58848031063644,65.14368033748912,48.749590165757084,0,0,0,0,0,0,0,1,0
2019,29.02001137333095,68.48306,46.24696,56.93078754851039,64.45164540322577,48.739317426899525,0,0,0,0,0,0,0,1,0
2020,15.359804408614483,69.25354,43.57893,56.082787991008615,63.55936658882303,47.42629761976451,0,0,0,0,0,0,0,1,0
2021,10.796151871918514,68.873245,42.49535,55.510287078430295,62.9569718929758,46.89303449955396,0,0,0,0,0,0,0,1,0
2022,22.331798672460167,69.80758,44.194603,56.51927887973545,64.01864934344871,47.7292892816717,0,0,0,0,0,0,0,1,0
2023,23.38706527578056,71.96106,45.66985,57.836941517956234,65.40511522802785,48.45530380602731,0,0,0,0,0,0,0,1,0
2024,17.992221852224617,72.293625,43.88743,57.21048087432471,64.74594323268357,47.57811997952102,0,0,0,0,0,0,0,1,0
2025,24.85237585966408,71.59796,44.157196,57.09295112751107,64.62227653708663,47.710880143871336,0,0,0,0,0,0,0,1,0
2026,18.538203215834496,71.66866,44.590057,57.294925540690755,64.8347972729023,47.92390438525403,0,0,0,0,0,0,0,1,0
2027,14.087007896750718,70.49675,45.06604,57.105828334912594,64.6358261424507,48.158150292106484,0,0,0,0,0,0,0,1,0
2028,20.908666376105995,71.74689,45.10087,57.5315609130196,65.08378882908822,48.17529120876878,0,0,0,0,0,0,0,1,0
2029,17.536923490006327,70.66583,44.94761,57.11256832377451,64.64291806746125,48.09986723840806,0,0,0,0,0,0,0,1,0
2030,16.42776980009481,69.48892,44.50947,56.54442124049492,64.04510454103848,47.88424503839602,0,0,0,0,0,0,0,1,0
2031,28.01799351163119,71.04541,45.910942,57.63518840214928,65.19282734487774,48.5739526110789,0,0,0,0,0,0,0,1,0
2032,30.24612791923821,70.184296,46.644554,57.65472181515801,65.21338071716018,48.93498569044905,0,0,0,0,0,0,0,1,0
2033,21.563356462606787,72.57641,46.711792,58.469595512760904,66.07080396738817,48.968075582913585,0,0,0,0,0,0,0,1,0
2034,37.664355413128135,71.436356,45.829754,57.730308077063,65.29291380130047,48.53399749359458,0,0,0,0,0,0,0,1,0
2035,24.471774946871548,73.78891,45.79905,58.49172842741654,66.09409257723885,48.518887108719504,0,0,0,0,0,0,0,1,0
2036,17.679896923571526,72.62953,46.10436,58.23629013613179,65.8253162863973,48.669139571141734,0,0,0,0,0,0,0,1,0
2037,17.969705540176033,72.18035,45.510384,57.84326075520931,65.41176443140802,48.376825671761736,0,0,0,0,0,0,0,1,0
2038,28.321383194679917,70.402374,45.956867,57.442561026103405,64.99014171232143,48.59655371925335,0,0,0,0,0,0,0,1,0
2039,12.361797454905062,74.323456,45.71819,58.63423442307065,66.2440396847847,48.47909341014605,0,0,0,0,0,0,0,1,0
2040,20.01442110360593,71.404495,44.22663,57.05795888999827,64.58545714027797,47.74505075562931,0,0,0,0,0,0,0,1,0
2041,17.754298168259112,70.92516,45.10493,57.26285074298777,64.80104765332592,48.177289259921494,0,0,0,0,0,0,0,1,0
2042,17.420103192440717,71.81341,45.480446,57.71016068176397,65.27171438694737,48.36209225909921,0,0,0,0,0,0,0,1,0
2043,28.074880661185382,72.11421,45.79597,57.939404682785344,65.51292862300534,48.51737134577607,0,0,0,0,0,0,0,1,0
2044,19.50967872586906,69.71672,45.140472,56.879893123985184,64.39809346870726,48.194780573731755,0,0,0,0,0,0,0,1,0
2045,15.48012213966608,72.16827,45.26775,57.739112060251344,65.30217749443783,48.25741800097677,0,0,0,0,0,0,0,1,0
2046,27.156874066346884,71.22168,47.070717,58.17201370421774,65.75768358782459,49.14471363956059,0,0,0,0,0,0,0,1,0
2047,20.292403706439437,73.38308,46.50102,58.64800718310191,66.25853160507289,48.864348184499974,0,0,0,0,0,0,0,1,0
2048,14.292154229663014,70.42891,45.70539,57.347467824487325,64.89008311152955,48.472794135575924,0,0,0,0,0,0,0,1,0
2049,16.92562026972592,71.86312,46.372314,58.094733978749865,65.67636861400433,48.80100799443572,0,0,0,0,0,0,0,1,0
2050,24.056836460207105,70.67929,46.821053,57.890466600438806,65.46143518328711,49.021846289070325,0,0,0,0,0,0,0,1,0
2051,26.84887816202223,73.429276,46.62044,58.71251147792243,66.32640406467169,48.92311844771592,0,0,0,0,0,0,0,1,0
2052,10.479748188180997,73.40335,44.023823,57.63194184015315,65.1894112599716,47.645243179243124,0,0,0,0,0,0,0,1,0
2053,16.666087895717023,71.5287,46.071236,57.8603916481571,65.42978983332466,48.652838229668234,0,0,0,0,0,0,0,1,0
2054,16.43162679762125,73.22438,47.079506,58.83462131853612,66.45489000885152,49.14903897738847,0,0,0,0,0,0,0,1,0
2055,26.609880537883043,71.73035,47.448864,58.4955108684225,66.09807252268399,49.33081143494096,0,0,0,0,0,0,0,1,0
2056,32.12872920388341,73.28134,48.54541,59.458576589596774,67.11142581075984,49.870455523438714,0,0,0,0,0,0,0,1,0
2057,31.120283540967105,73.104355,47.78109,59.084783497606274,66.7181146893062,49.49431009067018,0,0,0,0,0,0,0,1,0
2058,35.349760901626645,74.11983,49.149605,59.98392560430039,67.66420651900498,50.167798507727476,0,0,0,0,0,0,0,1,0
2059,34.00999994318068,73.558975,49.452988,59.924633560508376,67.60181847402285,50.31710263404841,0,0,0,0,0,0,0,1,0
2060,27.035281229336857,73.996826,47.650627,59.32458394106717,66.97043658439645,49.43010522674502,0,0,0,0,0,0,0,1,0
2061,22.29538132949084,71.3394,46.494812,57.972980884240584,65.54825804383063,48.861293036333464,0,0,0,0,0,0,0,1,0
2062,10.74794019482933,74.20195,45.72703,58.59790312759364,66.2058113095843,48.48344384664604,0,0,0,0,0,0,0,1,0
2063,23.2816781643118,74.38998,48.115185,59.64574673961851,67.30836926205714,49.658728538912804,0,0,0,0,0,0,0,1,0
2064,16.708076105339526,74.454636,47.702538,59.49665612810806,67.1514937154837,49.45565223004265,0,0,0,0,0,0,0,1,0
2065,17.630603386395872,75.44725,45.828876,59.04971133977407,66.68121119904819,48.53356540272954,0,0,0,0,0,0,0,1,0
2066,21.44903727349877,75.12469,49.467987,60.44601718102327,68.15042673053253,50.324484104304446,0,0,0,0,0,0,0,1,0
2067,16.03190879934758,75.066895,50.049877,60.66723900560118,68.38319990312228,50.61085011052394,0,0,0,0,0,0,0,1,0
2068,16.94362064750433,74.470505,48.955696,60.01925632558785,67.70138207390177,50.07236991142918,0,0,0,0,0,0,0,1,0
2069,23.049692830952704,73.77749,48.4757,59.59305194946061,67.25292295377626,49.836149083572835,0,0,0,0,0,0,0,1,0
2070,21.40172371451944,72.78032,47.693695,58.942079425761904,66.5679591627976,49.451300317150185,0,0,0,0,0,0,0,1,0
2071,19.532621129225493,76.83624,47.641182,60.25498026495324,67.94941460562023,49.42545705109542,0,0,0,0,0,0,0,1,0
2072,26.35678230102092,74.57356,49.09533,60.11081535445267,67.79772196111121,50.14108810715767,0,0,0,0,0,0,0,1,0
2073,23.419573349799062,74.71478,48.66703,59.980455271376925,67.6605549787192,49.93030847447141,0,0,0,0,0,0,0,1,0
2074,29.741109928536414,75.52596,49.5951,60.63053303140808,68.34457728493246,50.38704032996321,0,0,0,0,0,0,0,1,0
2075,21.392245162898003,74.635635,48.163414,59.74649017468969,67.41437312964051,49.682463516509884,0,0,0,0,0,0,0,1,0
2076,17.79818874093264,76.51341,48.605614,60.54692979148531,68.25660860719131,49.90008376767463,0,0,0,0,0,0,0,1,0
2077,19.679394536945075,74.99115,48.235817,59.89336299774056,67.56891508341923,49.71809526468962,0,0,0,0,0,0,0,1,0
