year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2006,4.7682904112074525,72.29054,44.06914,57.28448652629371,64.82381317355069,47.667545071875495,0,0,1,0,0,0,0,0,0
2007,5.9847042719614505,73.79402,44.764576,58.066317106345515,65.64646792243713,48.009790564840245,0,0,1,0,0,0,0,0,0
2008,4.766666037095189,73.37143,44.793633,57.93926232755284,65.51277883453321,48.02409041024525,0,0,1,0,0,0,0,0,0
2009,5.721428551174588,73.6473,45.337456,58.2545587121638,65.84453877680836,48.291722472319364,0,0,1,0,0,0,0,0,0
2010,8.33906545754917,72.92287,46.164124,58.35748643349638,65.95284098563306,48.6985512778143,0,0,1,0,0,0,0,0,0
2011,7.100292099019736,72.282196,45.277912,57.78079435465056,65.34603627702693,48.26241903442846,0,0,1,0,0,0,0,0,0
2012,9.273183530966788,73.088806,46.667187,58.619781387913804,66.22883196803508,48.94612408742917,0,0,1,0,0,0,0,0,0
2013,6.379708734140954,73.358795,45.266594,58.130371430537664,65.71386691568179,48.25684909774216,0,0,1,0,0,0,0,0,0
2014,10.171240657490417,73.587204,46.622417,58.765293165318006,66.38194180762788,48.92409139035851,0,0,1,0,0,0,0,0,0
2015,8.741653632216229,71.116,45.25297,57.38676551166172,64.93143277192802,48.250144307371585,0,0,1,0,0,0,0,0,0
2016,7.902416113966405,71.71991,47.02633,58.31762832732278,65.91090164332292,49.12286942859621,0,0,1,0,0,0,0,0,0
2017,11.42628626882851,74.1123,48.268936,59.61785505442456,67.27902118094508,49.734394145508986,0,0,1,0,0,0,0,0,0
2018,9.405798510600103,72.692154,46.987385,58.621461804581074,66.23060012956101,49.10370339358578,0,0,1,0,0,0,0,0,0
2019,11.702397396270856,70.78893,47.320763,58.132853302618095,65.71647838152259,49.26776898402632,0,0,1,0,0,0,0,0,0
2020,6.175611393677071,71.85186,44.96634,57.5105587657578,65.06169003093098,48.109084848775126,0,0,1,0,0,0,0,0,0
2021,3.6364441911878806,71.69311,44.044807,57.077858884690094,64.60639623572108,47.65557005249152,0,0,1,0,0,0,0,0,0
2022,8.855811255103424,71.90965,45.067577,57.571370981611466,65.12567762547992,48.15890669718573,0,0,1,0,0,0,0,0,0
2023,9.023444921108188,73.95684,47.005566,59.045106972351896,66.67636640936854,49.11265082412949,0,0,1,0,0,0,0,0,0
2024,6.635062958159968,74.21282,45.189034,58.37936292172745,65.97585977946312,48.218679430893815,0,0,1,0,0,0,0,0,0
